filename,variety,actual_class,predicted_class,probability,gradcam_path
OS (1)_aug18.jpg,Assamica,matured,Tender,0.07047770917415619,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (1)_aug18.jpg
OS (1)_aug30.jpg,Assamica,matured,Tender,0.018206998705863953,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (1)_aug30.jpg
OS (1)_aug4.jpg,Assamica,matured,Tender,0.02618752047419548,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (1)_aug4.jpg
OS (1)_aug40.jpg,Assamica,matured,Tender,0.019148219376802444,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (1)_aug40.jpg
OS (1)_aug46.jpg,Assamica,matured,Tender,0.01594276912510395,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (1)_aug46.jpg
OS (1)_aug50.jpg,Assamica,matured,Tender,0.013770799152553082,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (1)_aug50.jpg
OS (1)_aug62.jpg,Assamica,matured,Tender,0.014131005853414536,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (1)_aug62.jpg
OS (1)_aug69.jpg,Assamica,matured,Tender,0.023617716506123543,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (1)_aug69.jpg
OS (1)_aug95.jpg,Assamica,matured,Tender,0.03171675279736519,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (1)_aug95.jpg
OS (1)_aug97.jpg,Assamica,matured,Tender,0.012398834340274334,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (1)_aug97.jpg
OS (1)_aug99.jpg,Assamica,matured,Tender,0.05557240918278694,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (1)_aug99.jpg
OS (10)_aug11.jpg,Assamica,matured,Tender,0.016276070848107338,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (10)_aug11.jpg
OS (10)_aug25.jpg,Assamica,matured,Tender,0.012584824115037918,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (10)_aug25.jpg
OS (10)_aug29.jpg,Assamica,matured,Tender,0.013903451152145863,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (10)_aug29.jpg
OS (10)_aug3.jpg,Assamica,matured,Tender,0.004543156363070011,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (10)_aug3.jpg
OS (10)_aug40.jpg,Assamica,matured,Tender,0.004341874737292528,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (10)_aug40.jpg
OS (10)_aug42.jpg,Assamica,matured,Tender,0.023556632921099663,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (10)_aug42.jpg
OS (10)_aug48.jpg,Assamica,matured,Tender,0.004730898886919022,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (10)_aug48.jpg
OS (10)_aug54.jpg,Assamica,matured,Tender,0.005926510319113731,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (10)_aug54.jpg
OS (10)_aug7.jpg,Assamica,matured,Tender,0.0016243631253018975,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (10)_aug7.jpg
OS (10)_aug77.jpg,Assamica,matured,Tender,0.1933838129043579,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (10)_aug77.jpg
OS (11)_aug4.jpg,Assamica,matured,Tender,0.06556031852960587,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (11)_aug4.jpg
OS (11)_aug58.jpg,Assamica,matured,Tender,0.22607193887233734,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (11)_aug58.jpg
OS (11)_aug62.jpg,Assamica,matured,Tender,0.27360400557518005,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (11)_aug62.jpg
OS (11)_aug66.jpg,Assamica,matured,Tender,0.017978210002183914,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (11)_aug66.jpg
OS (11)_aug70.jpg,Assamica,matured,Tender,0.011546078138053417,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (11)_aug70.jpg
OS (11)_aug95.jpg,Assamica,matured,Tender,0.23766283690929413,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (11)_aug95.jpg
OS (12)_aug12.jpg,Assamica,matured,Tender,0.06428126245737076,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (12)_aug12.jpg
OS (12)_aug13.jpg,Assamica,matured,Tender,0.21042479574680328,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (12)_aug13.jpg
OS (12)_aug18.jpg,Assamica,matured,Tender,0.0974084660410881,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (12)_aug18.jpg
OS (12)_aug26.jpg,Assamica,matured,Tender,0.22379623353481293,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (12)_aug26.jpg
OS (12)_aug28.jpg,Assamica,matured,Tender,0.10699127614498138,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (12)_aug28.jpg
OS (12)_aug31.jpg,Assamica,matured,Tender,0.20633207261562347,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs\Assamica_matured\OS (12)_aug31.jpg
