filename,variety,actual_class,predicted_class,probability,gradcam_path
OS (1)_aug18.jpg,Assamica,matured,Tender,0.06507711857557297,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (1)_aug18.jpg
OS (1)_aug30.jpg,Assamica,matured,Tender,0.06808605045080185,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (1)_aug30.jpg
OS (1)_aug4.jpg,Assamica,matured,Tender,0.02840876206755638,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (1)_aug4.jpg
OS (1)_aug40.jpg,Assamica,matured,Tender,0.03820021077990532,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (1)_aug40.jpg
OS (1)_aug46.jpg,Assamica,matured,Tender,0.01197790913283825,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (1)_aug46.jpg
OS (1)_aug50.jpg,Assamica,matured,Tender,0.029296787455677986,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (1)_aug50.jpg
OS (1)_aug62.jpg,Assamica,matured,Tender,0.025484878569841385,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (1)_aug62.jpg
OS (1)_aug69.jpg,Assamica,matured,Tender,0.021599985659122467,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (1)_aug69.jpg
OS (1)_aug95.jpg,Assamica,matured,Tender,0.12183265388011932,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (1)_aug95.jpg
OS (1)_aug97.jpg,Assamica,matured,Tender,0.037223026156425476,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (1)_aug97.jpg
OS (1)_aug99.jpg,Assamica,matured,Tender,0.009100658819079399,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (1)_aug99.jpg
OS (10)_aug11.jpg,Assamica,matured,Tender,0.019016137346625328,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (10)_aug11.jpg
OS (10)_aug25.jpg,Assamica,matured,Tender,0.008437735959887505,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (10)_aug25.jpg
OS (10)_aug29.jpg,Assamica,matured,Tender,0.011251640506088734,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (10)_aug29.jpg
OS (10)_aug3.jpg,Assamica,matured,Tender,0.004525449126958847,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (10)_aug3.jpg
OS (10)_aug40.jpg,Assamica,matured,Tender,0.011711600236594677,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (10)_aug40.jpg
OS (10)_aug42.jpg,Assamica,matured,Tender,0.012393228709697723,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (10)_aug42.jpg
OS (10)_aug48.jpg,Assamica,matured,Tender,0.02509176731109619,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (10)_aug48.jpg
OS (10)_aug54.jpg,Assamica,matured,Tender,0.02571629360318184,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (10)_aug54.jpg
OS (10)_aug7.jpg,Assamica,matured,Tender,0.034216392785310745,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (10)_aug7.jpg
OS (10)_aug77.jpg,Assamica,matured,Tender,0.08966018259525299,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (10)_aug77.jpg
OS (11)_aug4.jpg,Assamica,matured,Tender,0.026645418256521225,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (11)_aug4.jpg
OS (11)_aug58.jpg,Assamica,matured,Tender,0.018720051273703575,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (11)_aug58.jpg
OS (11)_aug62.jpg,Assamica,matured,Tender,0.017095811665058136,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (11)_aug62.jpg
OS (11)_aug66.jpg,Assamica,matured,Tender,0.15140889585018158,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (11)_aug66.jpg
OS (11)_aug70.jpg,Assamica,matured,Tender,0.16394047439098358,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (11)_aug70.jpg
OS (11)_aug95.jpg,Assamica,matured,Tender,0.4026533365249634,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (11)_aug95.jpg
OS (12)_aug12.jpg,Assamica,matured,Tender,0.1702050119638443,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (12)_aug12.jpg
OS (12)_aug13.jpg,Assamica,matured,Tender,0.10366629809141159,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (12)_aug13.jpg
OS (12)_aug18.jpg,Assamica,matured,Tender,0.08207717537879944,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (12)_aug18.jpg
OS (12)_aug26.jpg,Assamica,matured,Tender,0.10801149904727936,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (12)_aug26.jpg
OS (12)_aug28.jpg,Assamica,matured,Tender,0.02919379435479641,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (12)_aug28.jpg
OS (12)_aug31.jpg,Assamica,matured,Tender,0.0417143888771534,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (12)_aug31.jpg
OS (12)_aug33.jpg,Assamica,matured,Tender,0.09932685643434525,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (12)_aug33.jpg
OS (12)_aug46.jpg,Assamica,matured,Tender,0.21438772976398468,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (12)_aug46.jpg
OS (12)_aug55.jpg,Assamica,matured,Tender,0.029968446120619774,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (12)_aug55.jpg
OS (12)_aug6.jpg,Assamica,matured,Tender,0.13232086598873138,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_final\Assamica_matured\OS (12)_aug6.jpg
