filename,variety,actual_class,predicted_class,probability,gradcam_path
OS (1)_aug18.jpg,Assamica,matured,Tender,0.15136967599391937,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (1)_aug18.jpg
OS (1)_aug30.jpg,Assamica,matured,Tender,0.05609263479709625,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (1)_aug30.jpg
OS (1)_aug4.jpg,Assamica,matured,Tender,0.016769200563430786,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (1)_aug4.jpg
OS (1)_aug40.jpg,Assamica,matured,Tender,0.04413074254989624,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (1)_aug40.jpg
OS (1)_aug46.jpg,Assamica,matured,Tender,0.03853359445929527,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (1)_aug46.jpg
OS (1)_aug50.jpg,Assamica,matured,Tender,0.04398098215460777,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (1)_aug50.jpg
OS (1)_aug62.jpg,Assamica,matured,Tender,0.09513247758150101,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (1)_aug62.jpg
OS (1)_aug69.jpg,Assamica,matured,Tender,0.02139098569750786,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (1)_aug69.jpg
OS (1)_aug95.jpg,Assamica,matured,Tender,0.006906882394105196,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (1)_aug95.jpg
OS (1)_aug97.jpg,Assamica,matured,Tender,0.03272704780101776,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (1)_aug97.jpg
OS (1)_aug99.jpg,Assamica,matured,Tender,0.012805556878447533,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (1)_aug99.jpg
OS (10)_aug11.jpg,Assamica,matured,Tender,0.013033045455813408,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (10)_aug11.jpg
OS (10)_aug25.jpg,Assamica,matured,Tender,0.011508344672620296,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (10)_aug25.jpg
OS (10)_aug29.jpg,Assamica,matured,Tender,0.005365616641938686,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (10)_aug29.jpg
OS (10)_aug3.jpg,Assamica,matured,Tender,0.01751232147216797,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (10)_aug3.jpg
OS (10)_aug40.jpg,Assamica,matured,Tender,0.009742707945406437,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (10)_aug40.jpg
OS (10)_aug42.jpg,Assamica,matured,Tender,0.020987438037991524,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (10)_aug42.jpg
OS (10)_aug48.jpg,Assamica,matured,Tender,0.0530550517141819,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (10)_aug48.jpg
OS (10)_aug54.jpg,Assamica,matured,Tender,0.04126979783177376,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (10)_aug54.jpg
OS (10)_aug7.jpg,Assamica,matured,Tender,0.0352889746427536,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (10)_aug7.jpg
OS (10)_aug77.jpg,Assamica,matured,Tender,0.0029141686391085386,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (10)_aug77.jpg
OS (11)_aug4.jpg,Assamica,matured,Tender,0.04211781546473503,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (11)_aug4.jpg
OS (11)_aug58.jpg,Assamica,matured,Tender,0.01761377602815628,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (11)_aug58.jpg
OS (11)_aug62.jpg,Assamica,matured,Tender,0.008669840171933174,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (11)_aug62.jpg
OS (11)_aug66.jpg,Assamica,matured,Tender,0.07514706254005432,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (11)_aug66.jpg
OS (11)_aug70.jpg,Assamica,matured,Tender,0.0381002239882946,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (11)_aug70.jpg
OS (11)_aug95.jpg,Assamica,matured,Tender,0.016832031309604645,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (11)_aug95.jpg
OS (12)_aug12.jpg,Assamica,matured,Tender,0.09741085767745972,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (12)_aug12.jpg
OS (12)_aug13.jpg,Assamica,matured,Tender,0.17099881172180176,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (12)_aug13.jpg
OS (12)_aug18.jpg,Assamica,matured,Tender,0.0492214672267437,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (12)_aug18.jpg
OS (12)_aug26.jpg,Assamica,matured,Tender,0.21155790984630585,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (12)_aug26.jpg
OS (12)_aug28.jpg,Assamica,matured,Tender,0.06373400241136551,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (12)_aug28.jpg
OS (12)_aug31.jpg,Assamica,matured,Tender,0.09231846779584885,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (12)_aug31.jpg
OS (12)_aug33.jpg,Assamica,matured,Tender,0.1344616562128067,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (12)_aug33.jpg
OS (12)_aug46.jpg,Assamica,matured,Tender,0.06750936806201935,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (12)_aug46.jpg
OS (12)_aug55.jpg,Assamica,matured,Tender,0.5432063341140747,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (12)_aug55.jpg
OS (12)_aug6.jpg,Assamica,matured,Tender,0.1691923290491104,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (12)_aug6.jpg
OS (12)_aug64.jpg,Assamica,matured,Tender,0.057696450501680374,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (12)_aug64.jpg
OS (12)_aug74.jpg,Assamica,matured,Tender,0.10397534817457199,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (12)_aug74.jpg
OS (12)_aug76.jpg,Assamica,matured,Tender,0.1950802206993103,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (12)_aug76.jpg
OS (12)_aug91.jpg,Assamica,matured,Tender,0.19574666023254395,C:/Users/HP/Desktop/Tea/iTeaGrow---Research-Project/MobileNetV3-Tea-Maturity/gradcam_outputs_sharp\Assamica_matured\OS (12)_aug91.jpg
