Number,State,Value,Param dropout,Param lr_fine,Param lr_head,Param weight_decay
0,COMPLETE,0.9487179487179487,0.6,3.7375614716197297e-06,0.0010144445642166666,0.0013233197241123496
1,COMPLETE,0.9706959706959707,0.55,2.359061044212899e-05,0.004723286402531839,0.0016603324105334476
2,COMPLETE,0.9633699633699634,0.7,1.004120334385275e-05,0.0003487578686169599,0.0011854462241239448
3,COMPLETE,0.9706959706959707,0.8,4.075770746438632e-05,0.0004217903374560497,0.00021664539515636318
4,COMPLETE,0.9706959706959707,0.5,2.1178330561859955e-05,0.000630969546016897,0.0005561571602665413
5,PRUNED,0.7893772893772893,0.8,5.327427540518081e-07,0.00018580500912136896,0.006710297675991464
6,PRUNED,0.8846153846153846,0.5,4.149851875124046e-06,0.000765325384689293,0.0010345664775300938
7,PRUNED,0.9688644688644689,0.55,8.335362844739562e-06,0.004015858904021047,0.000812554656791082
8,PRUNED,0.684981684981685,0.55,1.4443597509433207e-06,0.00013964392127334817,0.00013870149378013492
9,PRUNED,0.86996336996337,0.5,2.3525129139879742e-06,0.004133826459703454,0.0010287411142164444
10,PRUNED,0.945054945054945,0.7,1.631594187913595e-07,0.0019145100209177256,0.005488956269663943
11,PRUNED,0.7289377289377289,0.8,3.51161792739912e-05,0.0003367805679226357,0.00014580346702183517
12,PRUNED,0.9688644688644689,0.65,4.883440922162271e-05,0.0017543380369396285,0.00031146483847696116
13,PRUNED,0.8571428571428571,0.75,1.635284151288949e-05,0.0003855000045443059,0.002844238999876001
14,COMPLETE,0.9706959706959707,0.6,4.9029452654339265e-05,0.0022240776597901627,0.0025379698859750574
15,PRUNED,0.8864468864468864,0.65,1.286207923985515e-05,0.0011749207687579497,0.00031339366446947947
16,PRUNED,0.847985347985348,0.75,2.2373453907679666e-05,0.000564875920231421,0.0026332531772388173
17,PRUNED,0.7326007326007326,0.6,1.0158318887008553e-06,0.00020318251501106685,0.000310708098406979
18,PRUNED,0.4725274725274725,0.7,6.350554211950495e-06,0.0001044851664121628,0.0005998395355001123
19,PRUNED,0.9560439560439561,0.55,1.3701575502175112e-07,0.0031018657712064534,0.0017466409396232371
20,PRUNED,0.8681318681318682,0.65,2.707110972477867e-05,0.0012337793481357504,0.009460574760723588
21,PRUNED,0.891941391941392,0.5,1.8661995228628438e-05,0.0005413969415225947,0.0004895468224433525
22,PRUNED,0.9065934065934066,0.55,2.780119236045291e-05,0.00073118379366416,0.0002069816599734725
23,PRUNED,0.7783882783882784,0.5,5.555809153984574e-06,0.0004923268496713605,0.0004466644205416332
24,PRUNED,0.7783882783882784,0.6,1.2656308983519287e-05,0.00023920422019011473,0.00010479782234103874
25,PRUNED,0.8021978021978022,0.75,3.430114713325245e-05,0.0007867717731139499,0.0007034437828163931
26,PRUNED,0.8956043956043956,0.55,1.7565290847665293e-05,0.0002523658269392082,0.0002477535003276528
27,PRUNED,0.9212454212454212,0.5,7.747796609034373e-06,0.00043969147485727625,0.0017667951323512836
28,PRUNED,0.8956043956043956,0.8,6.152961794556404e-07,0.000963929623778983,0.0004568350158641156
29,PRUNED,0.8754578754578755,0.55,4.6560844480324e-05,0.0013913570992177997,0.001720689119084048
