date,grade,confidence,color,aroma,age,quantity_kg,quantity_multiplier,market_price,rainfall_mm,rainfall_impact,season,exchange_rate,actual_price
13/02/2024,BOP,0.85,1,1,1,2411,0.981,1189.3,88.2,1,Peak,300.83,1111.68
13/02/2024,BOPF,0.97,0.5,0.5,0,717,1.027,1274.28,88.7,1,Peak,298.57,1035.92
13/02/2024,Dust,0.95,0,1,0.5,6115,0.927,1011.09,86.9,1,Peak,298.32,774.08
14/02/2024,Dust1,0.86,1,0,0,1042,0.992,1017.77,81.4,1,Peak,301.03,797.83
15/02/2024,Fanning1,0.85,1,0.5,0.5,1712,0.993,1122.7,93.3,1,Peak,298.64,970.26
15/02/2024,Pekoe,0.88,0.5,1,1,6655,0.941,1102.66,88.3,1,Peak,300.63,944.58
15/02/2024,Dust,0.92,1,1,1,3268,0.976,1011.09,78.8,1,Peak,298.49,944.94
15/02/2024,BOPF,0.87,1,1,1,736,1.015,1264.28,79.8,1,Peak,299.17,1258.87
16/02/2024,Dust1,0.86,1,1,0,2800,0.995,1017.77,84.6,1,Peak,299.66,882.8
16/02/2024,Dust,0.94,0.5,0.5,0,3914,0.96,1021.09,91.4,1,Peak,301.05,781.94
16/02/2024,Pekoe,0.86,1,0.5,0.5,3968,0.962,1182.66,92.4,1,Peak,301.17,981.84
16/02/2024,BOPF,0.9,1,0.5,0.5,769,1.012,1264.28,94.3,1,Peak,301.88,1119.7
16/02/2024,Fanning1,0.93,0.5,0.5,0,3648,0.976,1032.7,80.3,1,Peak,300.47,797.28
17/02/2024,BOPF,0.94,1,1,0,1205,0.998,1184.28,80.7,1,Peak,299.3,1024.21
19/02/2024,BOPF,0.9,1,0.5,1,6566,0.934,1244.28,83.6,1,Peak,301.65,1090.2
19/02/2024,Dust,0.93,0.5,1,0.5,1323,1,991.09,80.1,1,Peak,300.56,856.24
19/02/2024,BOPF,0.98,0.5,1,0.5,2177,0.98,1274.28,91.9,1,Peak,300.63,1088.41
19/02/2024,Pekoe,0.98,0,0.5,0.5,909,1.019,1172.66,88.7,1,Peak,299,947.45
20/02/2024,BOPF,0.92,0,0.5,0.5,517,1.003,1224.28,88.6,1,Peak,299.31,958.65
20/02/2024,Dust,0.9,0,0.5,0.5,346,1.053,951.09,90.7,1,Peak,298.56,797.95
20/02/2024,Dust1,0.97,0.5,1,0.5,2098,0.993,1007.77,89.5,1,Peak,299.05,874.36
21/02/2024,Pekoe,0.86,1,0.5,0,267,1.062,1162.66,82.4,1,Peak,301.64,1020.41
21/02/2024,BOP,0.87,1,1,0,7746,0.921,1229.3,77.8,1,Peak,300.91,989.98
22/02/2024,Fanning1,0.89,0,1,0.5,1910,0.982,1112.7,91.7,1,Peak,299.47,909.75
22/02/2024,Dust,0.85,1,0.5,0.5,7619,0.949,951.09,76.2,1,Peak,301.15,775.8
22/02/2024,BOP,0.95,1,0.5,1,268,1.044,1169.3,86.3,1,Peak,301.95,1120.59
22/02/2024,BOP,0.84,1,0.5,0,508,1.022,1219.3,77.2,1,Peak,298.45,1030.4
23/02/2024,Fanning1,0.84,1,0,1,7698,0.915,1112.7,82.2,1,Peak,301.86,884.91
23/02/2024,Pekoe,0.84,0.5,1,1,1303,0.992,1172.66,83,1,Peak,300.19,1072.9
23/02/2024,Dust1,0.9,1,0.5,1,833,1.013,947.77,85.6,1,Peak,299.66,873.68
23/02/2024,Dust,0.89,0.5,1,1,451,1.035,951.09,89.6,1,Peak,300.98,888.38
25/02/2024,Fanning1,0.91,0.5,1,0,484,1.078,1102.7,76.2,1,Peak,299.25,984.59
26/02/2024,Dust1,0.86,1,0.5,0.5,4175,0.975,1017.77,78.1,1,Peak,301.27,867.69
26/02/2024,Pekoe,0.95,1,1,0,490,1.039,1122.66,75.5,1,Peak,300.27,1006.45
26/02/2024,BOP,0.83,1,1,0.5,1757,0.996,1219.3,87.7,1,Peak,300.38,1099.72
27/02/2024,BOP,0.93,1,0.5,0.5,5882,0.906,1209.3,90.1,1,Peak,298.44,955.73
27/02/2024,Dust,0.83,1,0.5,1,2936,0.986,951.09,85.5,1,Peak,298.03,847.61
28/02/2024,Pekoe,0.86,1,0.5,0.5,4519,0.951,1102.66,82.6,1,Peak,301.45,914.25
28/02/2024,Dust1,0.87,1,0,1,416,1.052,927.77,89.2,1,Peak,298.97,849.99
28/02/2024,Dust,0.94,1,0.5,1,824,1.027,991.09,82.9,1,Peak,299.4,932.81
28/02/2024,BOP,0.84,1,0.5,0,4582,0.964,1219.3,78,1,Peak,301.04,984.07
28/02/2024,Pekoe,0.98,1,0,0.5,1139,0.996,1172.66,86.3,1,Peak,298.22,963.1
29/02/2024,BOP,0.88,1,0.5,1,6895,0.928,1239.3,84,1,Peak,300.96,1057.37
01/03/2024,BOPF,0.87,0.5,1,1,330,1.055,1204.28,156.4,1,Normal,298.16,1200.64
01/03/2024,Fanning1,0.85,0.5,1,0.5,2390,0.981,1032.7,155.5,1,Normal,300.23,871.77
01/03/2024,Fanning1,0.96,0.5,0.5,1,4343,0.954,1112.7,162,1,Normal,301.75,916.26
04/03/2024,BOPF,0.93,0,0.5,0,6734,0.918,1224.28,160.8,1,Normal,299.24,830.4
