epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.923,2.74147,9.40318,2.50587,0.69538,0.05556,0.02253,0.00294,3.12954,13.2068,3.02552,0.0903605,9.73684e-05,9.73684e-05
2,410.824,2.56088,8.46038,2.34919,0.17246,0.43056,0.25079,0.0858,2.75462,11.1367,2.69242,0.0804605,0.00019732,0.00019732
3,636.351,2.50993,8.36588,2.30685,0.22457,0.34966,0.21813,0.09418,2.71864,9.42708,2.62778,0.0705602,0.000297075,0.000297075
4,860.408,2.51532,8.33985,2.32213,0.36867,0.59704,0.42322,0.10561,2.88294,9.17832,2.84157,0.0606596,0.000396488,0.000396488
5,1083.35,2.52213,8.22411,2.29702,0.76106,0.58333,0.5797,0.32102,2.78802,9.20868,2.55916,0.0507586,0.000495409,0.000495409
6,1304.16,2.50267,8.16429,2.26977,0.40818,0.58485,0.48405,0.18579,2.84882,8.86119,2.61707,0.0408569,0.000593695,0.000593695
7,1525.34,2.4637,8.12084,2.2685,0.7722,0.51789,0.52133,0.22637,2.77382,8.76063,2.67643,0.0309544,0.000691198,0.000691198
8,1748.94,2.47925,8.15743,2.30843,0.86435,0.27778,0.33666,0.12074,2.8201,8.69846,2.75523,0.0210509,0.000787776,0.000787776
9,1970.14,2.50167,8.22783,2.33887,0.7315,0.41223,0.38657,0.13227,2.81154,9.52175,2.62801,0.0111464,0.000883286,0.000883286
10,2191.06,2.51568,8.09214,2.26173,0.40387,0.5,0.52197,0.29662,2.74038,9.00541,2.62695,0.00124075,0.000977587,0.000977587
11,2412.64,2.52309,8.09113,2.30752,0.81949,0.52819,0.53926,0.18517,2.78153,8.22993,2.65133,0.000975553,0.000975553,0.000975553
12,2633.13,2.50775,8.05282,2.27814,0.14349,0.43542,0.29263,0.09918,2.87844,9.78362,2.87941,0.00097047,0.00097047,0.00097047
13,2854.06,2.48022,7.92324,2.26665,0.74175,0.58333,0.56055,0.2195,2.77652,8.41561,2.74613,0.000964923,0.000964923,0.000964923
14,3076.05,2.49503,7.93786,2.23584,0.26423,0.39933,0.20885,0.06039,2.72682,11.6448,2.58827,0.000958918,0.000958918,0.000958918
15,3297.09,2.45835,7.99494,2.22002,0.44724,0.49452,0.40633,0.125,2.73892,8.49837,2.66702,0.000952461,0.000952461,0.000952461
16,3518.22,2.47434,8.09508,2.27097,0.5697,0.47222,0.31174,0.08741,2.75856,9.18672,2.80405,0.000945558,0.000945558,0.000945558
17,3740.38,2.45672,8.07441,2.27604,0.70365,0.41459,0.41537,0.1963,2.65708,8.58383,2.67096,0.000938215,0.000938215,0.000938215
18,3961.11,2.42558,8.1309,2.29789,0.61393,0.53598,0.56291,0.2089,2.60666,8.56585,2.62865,0.000930441,0.000930441,0.000930441
19,4182.31,2.41857,7.81766,2.22069,0.85124,0.54167,0.56436,0.221,2.61595,8.45776,2.4977,0.000922242,0.000922242,0.000922242
20,4406.81,2.45309,7.89738,2.217,0.47717,0.52686,0.5536,0.19246,2.69594,8.54086,2.57184,0.000913627,0.000913627,0.000913627
21,4628.69,2.46239,7.98108,2.22918,0.92775,0.53914,0.55719,0.19929,2.71891,8.49541,2.61509,0.000904604,0.000904604,0.000904604
22,4850.32,2.44391,7.79245,2.2408,0.65692,0.48611,0.4376,0.11582,2.69235,9.16371,2.60733,0.000895182,0.000895182,0.000895182
23,5072.1,2.42943,7.79402,2.24635,0.79401,0.58333,0.50496,0.1727,2.65496,8.08638,2.55003,0.000885371,0.000885371,0.000885371
24,5294.75,2.39046,7.7152,2.16693,0.88918,0.5,0.51846,0.24717,2.58649,8.39021,2.52059,0.00087518,0.00087518,0.00087518
25,5518.39,2.41031,7.62979,2.1873,0.91237,0.54167,0.54937,0.22045,2.62852,8.25124,2.57181,0.00086462,0.00086462,0.00086462
26,5741.99,2.41697,7.64352,2.16589,0.87624,0.45833,0.52569,0.20941,2.67234,8.38516,2.58202,0.0008537,0.0008537,0.0008537
27,5967.51,2.45314,7.80664,2.21293,0.92157,0.5,0.56142,0.21935,2.68269,8.56052,2.55023,0.000842431,0.000842431,0.000842431
28,6192.84,2.4304,7.62462,2.21,0.78724,0.5,0.56829,0.22321,2.71582,8.09819,2.59542,0.000830825,0.000830825,0.000830825
29,6416.61,2.39498,7.70413,2.19134,0.52485,0.5283,0.55034,0.30392,2.65463,8.20257,2.52037,0.000818893,0.000818893,0.000818893
30,6638.78,2.41453,7.73099,2.20584,0.92681,0.54167,0.57762,0.2853,2.62724,7.98907,2.56584,0.000806647,0.000806647,0.000806647
31,6862.47,2.399,7.81449,2.19666,0.84592,0.49502,0.57338,0.25028,2.6281,8.01896,2.57186,0.000794099,0.000794099,0.000794099
32,7086.32,2.38111,7.60979,2.15833,0.87479,0.54167,0.55463,0.27981,2.61686,8.07186,2.5096,0.000781261,0.000781261,0.000781261
33,7309.41,2.37808,7.60453,2.18606,0.83466,0.54167,0.52425,0.27189,2.60621,7.88787,2.4548,0.000768145,0.000768145,0.000768145
34,7531.89,2.38931,7.79801,2.17142,0.97294,0.54167,0.57646,0.22729,2.61695,8.21169,2.46802,0.000754766,0.000754766,0.000754766
35,7755.12,2.37878,7.79177,2.16162,0.84008,0.54167,0.52113,0.19411,2.65743,8.25579,2.53172,0.000741136,0.000741136,0.000741136
36,7980.14,2.41248,7.50878,2.12302,0.63782,0.46108,0.44394,0.24495,2.56018,8.03491,2.41649,0.000727268,0.000727268,0.000727268
37,8202.88,2.38627,7.65926,2.15319,0.65823,0.43341,0.44469,0.20136,2.59028,8.30688,2.51001,0.000713177,0.000713177,0.000713177
