epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.79,2.91168,3.33819,2.49809,0.00614,0.13929,0.00574,0.00181,3.33491,90.089,12.798,0.0707895,0.00324561,0.00324561
2,258.488,2.96674,3.14057,2.4733,0.00023,0.01703,0.00012,3e-05,3.43596,2608.99,12.8489,0.0406592,0.00644868,0.00644868
3,367.343,2.86331,3.10029,2.42015,0.6713,0.04167,0.0019,0.00064,3.4113,459.47,5.66733,0.0103969,0.00951975,0.00951975
4,470.084,2.84842,3.07237,2.41685,0.00016,0.16667,0.00239,0.00136,3.51194,2241.46,5.85099,0.009406,0.009406,0.009406
5,564.602,2.78682,3.07021,2.42137,0.01159,0.15906,0.00519,0.00168,3.36851,119.704,3.44162,0.009208,0.009208,0.009208
6,667.25,2.83368,3.01336,2.4229,0.00389,0.14872,0.00237,0.00073,2.99257,5.01725,2.80838,0.00901,0.00901,0.00901
7,771.274,2.76537,3.02088,2.40201,0.16683,0.40977,0.28105,0.08438,2.96191,18.848,2.67941,0.008812,0.008812,0.008812
8,873.131,2.76327,2.89276,2.37626,0.0785,0.53619,0.11089,0.04941,2.96794,3.50856,2.72725,0.008614,0.008614,0.008614
9,974.979,2.76795,2.92584,2.37869,0.12318,0.33687,0.19635,0.0569,2.83036,4.44766,2.65034,0.008416,0.008416,0.008416
10,1077.13,2.73612,2.97192,2.34973,0.74173,0.16667,0.13964,0.0458,2.9639,4.21632,2.72864,0.008218,0.008218,0.008218
11,1177.81,2.72668,2.85317,2.3162,0.69574,0.0438,0.03055,0.00622,2.93639,3.33637,2.62714,0.00802,0.00802,0.00802
12,1279.41,2.71974,2.93726,2.33077,0.38462,0.36983,0.13595,0.04411,2.79381,3.05727,2.48882,0.007822,0.007822,0.007822
13,1381.24,2.6824,2.85863,2.30303,0.14055,0.5879,0.38023,0.1315,2.84721,3.33975,2.6486,0.007624,0.007624,0.007624
14,1484.17,2.71737,2.91003,2.30552,0.11152,0.191,0.09919,0.03257,2.86794,3.69809,2.55652,0.007426,0.007426,0.007426
15,1584.64,2.68021,2.93239,2.30624,0.64368,0.09063,0.05366,0.01531,2.78704,3.11213,2.42341,0.007228,0.007228,0.007228
16,1685.15,2.69134,2.79913,2.28512,0.81674,0.33333,0.35076,0.13958,2.81193,2.96283,2.49097,0.00703,0.00703,0.00703
17,1787.26,2.68953,2.85851,2.27813,0.74503,0.33333,0.42979,0.14616,2.83769,3.12907,2.52888,0.006832,0.006832,0.006832
18,1889.27,2.676,2.86801,2.25368,0.172,0.44309,0.24372,0.07162,2.73814,3.17299,2.46181,0.006634,0.006634,0.006634
19,1989.7,2.63433,2.90599,2.23388,0.29864,0.4264,0.36993,0.10337,2.82121,3.05339,2.499,0.006436,0.006436,0.006436
20,2091.37,2.66839,2.87005,2.24166,0.746,0.11111,0.20852,0.0745,2.81671,3.2001,2.415,0.006238,0.006238,0.006238
21,2192.09,2.63703,2.8413,2.22454,0.59771,0.41667,0.24087,0.08403,2.86191,3.11499,2.40976,0.00604,0.00604,0.00604
22,2292.8,2.66807,2.87881,2.24072,0.66537,0.39705,0.42163,0.17205,2.77964,3.13447,2.38515,0.005842,0.005842,0.005842
23,2394.49,2.63226,2.78876,2.19564,0.25942,0.37743,0.36492,0.11529,2.72921,3.14223,2.39336,0.005644,0.005644,0.005644
24,2495.65,2.61296,2.8565,2.21819,0.31077,0.37987,0.27718,0.08372,2.79559,3.10008,2.42216,0.005446,0.005446,0.005446
25,2598.41,2.60381,2.83562,2.18175,0.88249,0.20833,0.40066,0.13137,2.98024,3.38609,2.81247,0.005248,0.005248,0.005248
26,2698.59,2.56922,2.8369,2.18974,0.53432,0.16667,0.31555,0.09521,2.84945,2.98648,2.45444,0.00505,0.00505,0.00505
27,2798.52,2.58874,2.76966,2.20649,0.54996,0.33577,0.45657,0.14841,2.75392,2.86671,2.42953,0.004852,0.004852,0.004852
28,2898.03,2.58934,2.8379,2.18834,0.62389,0.38251,0.5072,0.20203,2.73568,2.9301,2.43765,0.004654,0.004654,0.004654
29,2999.16,2.54466,2.78725,2.1475,0.1816,0.54167,0.4459,0.19243,2.70587,2.8831,2.40519,0.004456,0.004456,0.004456
30,3100.27,2.60837,2.81679,2.16729,0.41253,0.30307,0.3174,0.09512,2.80406,2.9502,2.46113,0.004258,0.004258,0.004258
31,3203.69,2.59465,2.79848,2.18414,0.75212,0.5,0.54966,0.26712,2.78913,3.03142,2.46072,0.00406,0.00406,0.00406
32,3308.56,2.61818,2.77657,2.21132,0.18021,0.48611,0.3524,0.12145,2.76425,3.0119,2.40439,0.003862,0.003862,0.003862
33,3411.88,2.58006,2.82166,2.1833,0.64832,0.4493,0.41043,0.10473,2.78186,2.94256,2.51358,0.003664,0.003664,0.003664
34,3510.89,2.5444,2.72142,2.16771,0.67654,0.45833,0.5119,0.19353,2.74331,2.83564,2.46805,0.003466,0.003466,0.003466
35,3612.05,2.54788,2.767,2.16278,0.63906,0.45833,0.43129,0.15422,2.72231,2.86948,2.41719,0.003268,0.003268,0.003268
