epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.7682,1.00766,2.23614,1.13634,0.04941,0.52458,0.07231,0.0398,2.33402,3.69783,2.01992,0.0892,0.0012,0.0012
2,70.2756,1.02575,1.68311,1.15624,0.00893,0.01533,0.00163,0.00045,2.02891,13.9431,2.82663,0.0774175,0.0024175,0.0024175
3,101.618,1.04636,1.63072,1.22658,0.00228,0.07625,0.00136,0.00063,1.80058,109.217,2.77156,0.0655492,0.0035492,0.0035492
4,136.219,1.20164,1.59374,1.29721,0.04083,0.28704,0.05517,0.01569,2.27492,24.3471,2.76012,0.0535951,0.0045951,0.0045951
5,172.166,1.11067,1.52692,1.25062,0.02532,0.7394,0.06476,0.02044,1.94844,71.8239,3.08635,0.0415552,0.0055552,0.0055552
6,206.958,1.05368,1.46498,1.25876,0.02321,0.58563,0.02636,0.00978,1.75978,141.649,3.47639,0.0294295,0.0064295,0.0064295
7,242.426,1.09819,1.47149,1.24651,0.02134,0.5924,0.0274,0.00962,1.80165,78.7917,3.0487,0.017218,0.007218,0.007218
8,275.888,0.98755,1.27722,1.16515,0.12441,0.38423,0.1485,0.07249,1.56755,13.8082,2.16111,0.00769,0.00769,0.00769
9,310.077,0.9935,1.27844,1.19291,0.85561,0.2666,0.29542,0.18355,1.20258,3.05284,1.60182,0.00736,0.00736,0.00736
10,344.175,0.94515,1.23519,1.18094,0.42738,0.43528,0.41944,0.2862,1.11737,2.22025,1.66192,0.00703,0.00703,0.00703
11,378.228,0.89776,1.16763,1.13072,0.55664,0.71448,0.70741,0.49588,1.05241,1.79971,1.51691,0.0067,0.0067,0.0067
12,411.742,0.9203,1.17977,1.14551,0.74026,0.71641,0.78344,0.56543,0.96201,1.82521,1.30482,0.00637,0.00637,0.00637
13,445.338,0.86375,1.12121,1.12387,0.73395,0.68833,0.78109,0.56557,0.90843,2.12607,1.24597,0.00604,0.00604,0.00604
14,478.283,0.85916,1.09448,1.12513,0.67534,0.76135,0.80632,0.61032,0.85703,1.55095,1.20125,0.00571,0.00571,0.00571
15,512.905,0.84735,1.09856,1.12983,0.75941,0.75195,0.87501,0.69968,0.77178,1.22641,1.12056,0.00538,0.00538,0.00538
16,547,0.81071,1.00373,1.10566,0.843,0.75687,0.85546,0.68077,0.75021,1.3573,1.09336,0.00505,0.00505,0.00505
17,582.173,0.80299,1.03812,1.08241,0.76295,0.66387,0.77411,0.62642,0.75314,1.56381,1.08456,0.00472,0.00472,0.00472
18,616.37,0.79013,1.0405,1.10336,0.79343,0.76513,0.8496,0.69176,0.71894,1.35461,1.06185,0.00439,0.00439,0.00439
19,650.119,0.77161,1.01125,1.10295,0.89097,0.79344,0.88823,0.75479,0.6035,1.31039,1.01285,0.00406,0.00406,0.00406
20,683.402,0.75815,0.9817,1.06909,0.93371,0.84425,0.91865,0.79292,0.57999,1.34328,1.01913,0.00373,0.00373,0.00373
21,715.45,0.61741,0.91561,1.0169,0.89578,0.8205,0.92619,0.78245,0.60475,1.36594,0.994,0.0034,0.0034,0.0034
22,748.1,0.60092,0.87531,0.99913,0.84592,0.87559,0.92698,0.80274,0.55024,1.12143,0.96919,0.00307,0.00307,0.00307
23,780.582,0.58588,0.86444,0.98115,0.90915,0.87144,0.94338,0.82825,0.52011,0.85318,0.96104,0.00274,0.00274,0.00274
24,812.363,0.57947,0.78523,0.99185,0.92108,0.88922,0.9499,0.83368,0.52973,0.76445,0.96517,0.00241,0.00241,0.00241
25,844.153,0.56129,0.75747,0.97095,0.93249,0.91644,0.96555,0.83028,0.58295,0.73635,0.9742,0.00208,0.00208,0.00208
26,876.357,0.53208,0.75006,0.95947,0.93804,0.94981,0.96995,0.8593,0.4996,0.70638,0.9404,0.00175,0.00175,0.00175
27,907.986,0.53958,0.72041,0.95623,0.95084,0.94545,0.9716,0.86682,0.49293,0.65788,0.93237,0.00142,0.00142,0.00142
28,940.569,0.52245,0.71807,0.95774,0.96164,0.97011,0.97501,0.84106,0.57747,0.66685,0.95621,0.00109,0.00109,0.00109
29,973.661,0.51411,0.68505,0.9419,0.97074,0.96756,0.97634,0.85171,0.55326,0.65164,0.94391,0.00076,0.00076,0.00076
30,1005.7,0.50132,0.66974,0.92704,0.99083,0.96049,0.9768,0.88773,0.46698,0.61187,0.9178,0.00043,0.00043,0.00043
