epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8779,2.99919,3.90482,2.47799,0.66667,0.16258,0.28639,0.15884,2.97636,3.59825,2.71247,0.00025722,0.00025722,0.00025722
2,17.8068,2.73078,3.00337,2.17902,0.26049,0.33333,0.31141,0.13624,2.80313,4.49823,2.44239,0.00052524,0.00052524,0.00052524
3,24.986,2.69898,2.7993,2.14822,0.8,0.33333,0.23108,0.16838,2.96354,4.53118,2.6664,0.000789677,0.000789677,0.000789677
4,32.2648,2.74599,2.73876,2.17436,0.61723,0.45833,0.22813,0.12981,3.01897,13.9155,2.69581,0.00105053,0.00105053,0.00105053
5,39.3848,2.71874,2.65059,2.20119,0.24367,0.5,0.21677,0.10073,2.93572,9.06477,2.80292,0.0013078,0.0013078,0.0013078
6,46.2669,2.73165,2.67132,2.14409,0.42038,0.45833,0.09241,0.04184,2.93884,6.56071,2.5541,0.00138184,0.00138184,0.00138184
7,53.8101,2.67267,2.63981,2.08241,0.58333,0.16667,0.28415,0.07995,2.8405,4.07591,2.49562,0.00137241,0.00137241,0.00137241
8,60.8748,2.69123,2.66931,2.12341,0.55052,0.29167,0.16575,0.06085,2.94864,3.2978,2.69571,0.00136298,0.00136298,0.00136298
9,67.8198,2.65813,2.5969,2.09735,0.5691,0.5,0.38414,0.23548,2.95478,4.17229,2.55511,0.00135355,0.00135355,0.00135355
10,74.401,2.67713,2.6025,2.09565,0.96825,0.16667,0.23586,0.11151,2.70795,2.96807,2.34049,0.00134412,0.00134412,0.00134412
11,81.5077,2.67614,2.62276,2.09255,0.6014,0.33333,0.32215,0.24469,2.91244,4.14435,2.42633,0.00133469,0.00133469,0.00133469
12,88.7624,2.58553,2.54498,2.10065,0.08042,0.44972,0.10982,0.04227,3.02212,3.38848,2.3325,0.00132525,0.00132525,0.00132525
13,95.6664,2.6177,2.56185,2.11691,0.43788,0.38517,0.43151,0.21052,2.98558,3.12901,2.39593,0.00131582,0.00131582,0.00131582
14,102.958,2.60084,2.54674,2.0495,0.88768,0.42743,0.53169,0.33632,2.70644,2.79593,2.20955,0.00130639,0.00130639,0.00130639
15,109.995,2.60008,2.55409,2.00665,0.89317,0.5,0.52558,0.30114,2.74023,3.01606,2.34406,0.00129696,0.00129696,0.00129696
16,117.162,2.53014,2.50782,1.98748,0.95604,0.45833,0.54018,0.31697,2.62546,3.42755,2.31263,0.00128753,0.00128753,0.00128753
17,123.696,2.52247,2.4581,2.0268,0.93537,0.54032,0.61185,0.35585,2.65508,2.70584,2.28542,0.0012781,0.0012781,0.0012781
18,130.832,2.56527,2.49668,2.05555,0.9498,0.33333,0.53346,0.32515,2.79521,2.86924,2.37229,0.00126867,0.00126867,0.00126867
19,137.658,2.54038,2.44866,2.00907,0.86693,0.5457,0.58101,0.32877,2.71563,2.73795,2.21844,0.00125923,0.00125923,0.00125923
20,144.768,2.52908,2.4992,1.9999,0.90074,0.5586,0.57773,0.33398,2.66186,2.56023,2.27987,0.0012498,0.0012498,0.0012498
21,151.484,2.54173,2.50821,2.00801,0.80566,0.57207,0.53459,0.33396,2.71605,2.85083,2.14692,0.00124037,0.00124037,0.00124037
22,158.443,2.53076,2.43811,2.0035,0.86397,0.41667,0.4662,0.32881,2.77536,2.71877,2.21757,0.00123094,0.00123094,0.00123094
23,165.363,2.48759,2.40977,1.96958,0.72506,0.58577,0.56793,0.37426,2.63688,2.56188,2.30935,0.00122151,0.00122151,0.00122151
24,172.671,2.43631,2.41403,1.94641,0.92966,0.54167,0.57463,0.36679,2.67761,2.68962,2.15144,0.00121208,0.00121208,0.00121208
25,179.862,2.52517,2.4813,2.01131,0.93107,0.54167,0.57969,0.35098,2.66851,2.7148,2.20513,0.00120265,0.00120265,0.00120265
26,186.773,2.47577,2.42531,1.97141,0.96429,0.58333,0.6054,0.3958,2.60833,2.52073,2.17248,0.00119322,0.00119322,0.00119322
27,194.063,2.45284,2.48085,2.00576,0.62239,0.5944,0.58941,0.38367,2.65241,2.74218,2.19091,0.00118378,0.00118378,0.00118378
